incubation_time,infectious_time,r_zero,lock_1_restrict,lock_2_release,repeats
5.737397,2.217596,3.385027,0.328595,0.739766,5.000000
4.456425,3.855690,3.747322,0.503711,0.651676,5.000000
4.154983,2.812768,3.455869,0.098320,0.495293,5.000000
5.086352,3.432345,2.573955,0.867404,0.472097,5.000000
5.815434,2.985746,3.227733,0.939032,0.140146,5.000000
5.483915,3.232805,3.760633,0.822054,0.878754,5.000000
4.842946,2.048894,2.769566,0.221328,0.540037,5.000000
5.135247,3.943645,2.992440,0.286313,0.326024,5.000000
5.400162,2.400086,2.890073,0.618645,0.313054,5.000000
4.160825,2.396065,3.985056,0.580457,0.816770,5.000000
4.964807,3.726013,3.566566,0.781143,0.061807,5.000000
4.924498,2.319109,3.049593,0.993433,0.947359,5.000000
5.971310,2.647529,3.826897,0.542642,0.427856,5.000000
4.296426,2.911400,2.832403,0.724572,0.792292,5.000000
5.539167,2.489128,3.621153,0.042074,0.114310,5.000000
5.649208,3.107721,2.951405,0.010831,0.592208,5.000000
5.343510,2.763389,2.534654,0.382638,0.915224,5.000000
4.701174,3.122462,2.703625,0.401673,0.022284,5.000000
4.779205,3.334047,3.939635,0.243866,0.210473,5.000000
4.027064,3.461256,3.130725,0.646292,0.252621,5.000000
5.874101,3.807953,3.180080,0.703055,0.600736,5.000000
5.259641,3.611037,3.461719,0.180614,0.966796,5.000000
4.360353,2.093651,3.292117,0.446643,0.184701,5.000000
4.610317,2.620093,3.696492,0.882601,0.373130,5.000000
4.486104,3.530897,2.640980,0.128829,0.690946,5.000000
